fullVisitorId,type,date,visitnumber,visitstarttime,session_duration,country,channel,campaign,keyword,source,medium,device,currency,sale_type,navBar_chat_icon,started_chat,navBar_our_cars,navBar_open_menu,clicked_in_menu,signed_in,cdp_back_link,cdp_floating_cta,cdp_view_all_features,cdp_expand_accordion,cdp_semiConductor_info,cdp_main_cta,cdp_customise_car,cdp_footer_info,cdp_request_callback
6494855048502138298,order_submit,2022-02-16,142,1645023487,1435,Sweden,Volvo,(not set),(not set),rcx-volvocars.force.com,referral,desktop,sek,subscription,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6494855048502138298,order_submit,2022-02-21,144,1645437278,158,Sweden,Volvo,(not set),(not set),rcx-volvocars.force.com,referral,desktop,sek,subscription,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6494855048502138298,order_submit,2022-02-22,152,1645538558,4268,Sweden,Volvo,(not set),(not set),rcx-volvocars.force.com,referral,desktop,sek,subscription,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0
6494855048502138298,order_submit,2022-02-22,149,1645520068,641,Sweden,Volvo,(not set),(not set),rcx-volvocars.force.com,referral,desktop,sek,subscription,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6494855048502138298,order_submit,2022-02-23,153,1645627228,5246,Sweden,Volvo,(not set),(not set),rcx-volvocars.force.com,referral,desktop,sek,subscription,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
6494855048502138298,order_submit,2022-02-28,165,1646060787,74,Sweden,Volvo,(not set),(not set),rcx-volvocars.force.com,referral,desktop,sek,subscription,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
6494855048502138298,order_submit,2022-03-02,171,1646213377,1474,Sweden,Volvo,(not set),(not set),rcx-volvocars.force.com,referral,desktop,sek,subscription,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
6494855048502138298,order_submit,2022-03-02,170,1646207438,51,Sweden,Volvo,(not set),(not set),rcx-volvocars.force.com,referral,desktop,sek,subscription,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6494855048502138298,order_submit,2022-03-03,176,1646300184,1446,Sweden,Volvo,(not set),(not set),rcx-volvocars.force.com,referral,desktop,sek,subscription,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6494855048502138298,order_submit,2022-03-03,175,1646291009,7365,Sweden,Volvo,(not set),(not set),rcx-volvocars.force.com,referral,desktop,sek,subscription,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6494855048502138298,order_submit,2022-03-03,179,1646310672,2042,Sweden,Volvo,(not set),(not set),rcx-volvocars.force.com,referral,desktop,sek,subscription,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
6494855048502138298,order_submit,2022-03-09,195,1646817960,4064,Sweden,Volvo,(not set),(not set),rcx-volvocars.force.com,referral,desktop,sek,subscription,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
6494855048502138298,order_submit,2022-03-09,196,1646832384,62,Sweden,Volvo,(not set),(not set),rcx-volvocars.force.com,referral,desktop,sek,subscription,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6494855048502138298,order_submit,2022-03-09,197,1646834496,2195,Sweden,Volvo,(not set),(not set),rcx-volvocars.force.com,referral,desktop,sek,subscription,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
6494855048502138298,order_submit,2022-03-11,209,1647005649,1841,Sweden,Volvo,(not set),(not set),rcx-volvocars.force.com,referral,desktop,sek,subscription,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6494855048502138298,order_submit,2021-12-13,16,1639386427,414,Sweden,Volvo,(not set),(not set),rcx-volvocars.force.com,referral,desktop,sek,subscription,1,0,0,0,0,,0,0,0,1,0,1,0,0,0
6494855048502138298,order_submit,2021-12-15,26,1639577065,46,Sweden,Volvo,(not set),(not set),rcx-volvocars.force.com,referral,desktop,sek,subscription,0,0,0,0,0,,0,0,0,0,0,1,0,0,0
6494855048502138298,order_submit,2022-03-31,254,1648711433,230,Sweden,Volvo,(not set),(not set),rcx-volvocars.force.com,referral,desktop,sek,subscription,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6494855048502138298,order_submit,2022-01-12,43,1641998970,1464,Sweden,Volvo,(not set),(not set),rcx-volvocars.force.com,referral,desktop,sek,subscription,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6494855048502138298,order_submit,2022-01-12,38,1641992950,2219,Sweden,Volvo,(not set),(not set),rcx-volvocars.force.com,referral,desktop,sek,subscription,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6494855048502138298,order_submit,2022-01-12,40,1641995280,1396,Sweden,Volvo,(not set),(not set),rcx-volvocars.force.com,referral,desktop,sek,subscription,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
6494855048502138298,order_submit,2022-01-13,49,1642080491,974,Sweden,Volvo,(not set),(not set),rcx-volvocars.force.com,referral,desktop,sek,subscription,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6494855048502138298,order_submit,2022-01-21,52,1642768946,68,Sweden,Volvo,(not set),(not set),rcx-volvocars.force.com,referral,desktop,sek,subscription,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6494855048502138298,order_submit,2022-01-24,55,1643008905,104,Sweden,Volvo,(not set),(not set),rcx-volvocars.force.com,referral,desktop,sek,subscription,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7105795300032971949,order_submit,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2670555235431599687,order_submit,2021-07-19,1,1626721862,172,United Kingdom,Paid Search,cbv_uk_brand_search,(not set),google,paidsearch,mobile,gbp,subscription,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
583954569924265543,order_submit,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3957294421914786147,order_submit,2022-02-02,78,1643817706,746,United Kingdom,Volvo,(not set),(not set),rcx-volvocars.force.com,referral,desktop,gbp,subscription,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3957294421914786147,order_submit,2022-02-02,74,1643793810,1983,United Kingdom,Organic Search,(not set),(not provided),google,organic,desktop,gbp,subscription,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3957294421914786147,order_submit,2022-02-02,77,1643816929,700,United Kingdom,Organic Search,(not set),(not provided),google,organic,desktop,gbp,subscription,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3957294421914786147,order_submit,2022-02-02,76,1643811467,3280,United Kingdom,Organic Search,(not set),(not provided),google,organic,desktop,gbp,subscription,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0
3957294421914786147,order_submit,2022-02-04,82,1643966144,66,United Kingdom,Organic Search,(not set),(not provided),google,organic,desktop,gbp,subscription,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
3957294421914786147,order_submit,2022-02-04,84,1643971255,643,United Kingdom,Organic Search,(not set),(not provided),google,organic,desktop,gbp,subscription,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0
3957294421914786147,order_submit,2022-02-04,88,1643989692,2322,United Kingdom,Volvo,(not set),(not set),rcx-volvocars.force.com,referral,desktop,gbp,subscription,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3957294421914786147,order_submit,2022-02-05,92,1644053245,1754,United Kingdom,Organic Search,(not set),(not provided),google,organic,desktop,gbp,subscription,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3957294421914786147,order_submit,2022-02-06,97,1644158785,34,United Kingdom,Organic Search,(not set),(not provided),google,organic,desktop,gbp,subscription,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3957294421914786147,order_submit,2022-02-08,98,1644311459,3523,United Kingdom,Organic Search,(not set),(not provided),google,organic,desktop,gbp,subscription,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
3957294421914786147,order_submit,2022-02-08,103,1644331569,1252,United Kingdom,Organic Search,(not set),(not provided),google,organic,desktop,gbp,subscription,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0
3957294421914786147,order_submit,2022-02-09,108,1644409011,2055,United Kingdom,Volvo,(not set),(not set),rcx-volvocars.force.com,referral,desktop,gbp,subscription,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0
3957294421914786147,order_submit,2022-02-09,106,1644398373,670,United Kingdom,Organic Search,(not set),(not provided),google,organic,desktop,gbp,subscription,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3957294421914786147,order_submit,2022-02-09,109,1644413564,1821,United Kingdom,Volvo,(not set),(not set),rcx-volvocars.force.com,referral,desktop,gbp,subscription,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
